ZIP,PARK,BASEBALL_J,BASEBALL_S,SUM
60644,LEVIN (JOHN),1,0,
60644,AUSTIN (HENRY),0,0,
60643,BARNARD (AMY L.),0,0,
60614,MID-NORTH,0,0,
60622,BICKERDIKE (GEORGE) SQUARE,0,0,
60653,CHAMBERLAIN TRIANGLE,0,0,
60631,MULBERRY POINT,0,0,
60619,DIXON (LORRAINE),0,0,
60641,DICKINSON (ARTHUR),0,0,
60646,GREEN (JEFFREY),0,0,
60653,ELLIS (SAMUEL),3,0,
60614,EUGENIE TRIANGLE,0,0,
60611,MARIANO (LOUIS),0,0,
60628,FERNWOOD PKWY.,0,0,
60649,HODES (BARNET),0,0,
60644,KINZIE (JOHN) PKWY.,0,0,
60621,LILY GARDENS,0,0,
60640,"MELLIN (CURTIS, SR.)",0,0,
60631,MYRTLE GROVE,0,0,
60611,ADDAMS (JANE) MEML.,0,0,
60621,HARRIS (RYAN) MEMORIAL,0,0,
60631,NORWOOD CIRCLE,0,0,
60628,PULLMAN (GEORGE),0,0,
60631,CENTENNIAL,0,0,
60615,BUTTERNUT,0,0,
60611,SENECA,0,0,
60610,WASHINGTON SQUARE,0,0,
60626,HARTIGAN (DAVID) BEACH,0,0,
60626,DORIA (HELEN) BEACH,0,0,
60626,FARGO (JAMES) BEACH,0,0,
60660,BERGER (ALBERT),0,0,
60626,HOWARD (URE) BEACH,0,0,
60626,GRIFFIN (MARION MAHONY),0,0,
60630,PARK NO. 593,0,0,
60626,JUNEWAY BEACH,0,0,
60626,NORTH SHORE BEACH,0,0,
60626,PRINZ (TOBEY) BEACH,0,0,
60626,ROGERS (PHILLIP) BEACH,0,0,
60660,LANE (GEORGE) BEACH,0,0,
60620,LYLE (JOHN),0,0,
60637,MIDWAY PLAISANCE,0,0,
60614,JONQUIL,1,0,
60653,SUMAC,0,0,
60615,SYCAMORE,0,0,
60637,CHESTNUT,0,0,
60657,EVERGREEN,0,0,
60614,CLOVER,0,0,
60632,RUIZ (IRMA C.),0,0,
60640,CEDAR,0,0,
60639,AIELLO (JOHN),0,0,
60613,FILBERT,0,0,
60647,MAPLE,0,0,
60608,MULBERRY,0,0,
60653,PARK NO. 591,0,0,
60652,LEE (JOHN),0,0,
60617,PINE,0,0,
60608,JACOLIK (FLORIAN S.),0,0,
60617,PARK NO. 565,0,0,
,,,,
 -87.6775464970204 41.91422744338822, -87.67766695896958 41.91424348653121, -87.67376955793583 41.91419241904957, -87.67255206776821 41.91421742533423,
60643,PARK NO. 582,0,0,
60617,PARK NO. 583,0,0,
60629,PARK NO. 585,0,0,
60629,PARK NO. 586,0,0,
60619,PARK NO. 587,0,0,
60628,PARK NO. 584,0,0,
60628,PARK NO. 588,0,0,
60628,PARK NO. 595,0,0,
60608,PARK NO. 594,0,0,
60628,PARK NO. 589,0,0,
60653,PARK NO. 590,0,0,
60653,PARK NO. 592,0,0,
60632,PARK NO. 596,0,0,
60633,PARK NO. 597,0,0,
60610,PARK NO. 598,0,0,
,PARK NO. 599,0,0,
,PARK NO. 600,0,0,
,PARK NO. 601,0,0,
,PARK NO. 602,0,0,
